Numéro de la tâche,Date de création de la tâche,Nom de la personne initiatrice de la tâche,Site de réalisation de la tâche,Nature de la tâche,Description de la tâche,Date de début de la tâche,Durée estimée en heure(s) ou journée(s),Nombre de personnes souhaitées,Service N°1 mandaté pour la réalisation de la tâche,Service N°2 mandaté pour la réalisation de la tâche,Service N°3 mandaté pour la réalisation de la tâche
T_P1356,45203,Jan Callemeyn,MRS,Entretien général,Niv +3 toiture petite aile: déplacer la sonde de mesure de température extérieur comme proposé ensemble,45203,,1,Ouvriers_CPAS,,
T_P1360,45210,Jan Callemeyn,MRS,Entretien général,"Niv - 1, local chaufferie: Alarme sur la pompe qui maintient la pression, de l'eau,  dans le circuit de chauffage de l'eau constante.",45210,,1,Thersa,,
T_P1358,45207,Jan Callemeyn,MRS,Electricité,"Niv - 1, local TGBT. Commander le matériel nécessaire afin de réaliser les modifications conseillées par la société EMEGA",45214,,1,Ouvriers_CPAS,,
T_P1365,45222,Jan Callemeyn,MRS,Entretien général,"Niv - 1: zone couloir accès fournisseurs chambres froides: creuser, nettoyer et refaire les joints de dilatation usagés au sol. Le produit permettant la réparation est disponible depuis ce jour à la MRS. Merci",45222,,2,Ouvriers_CPAS,,
T_P1366,45222,Jan Callemeyn,MRS,Plomberie,"Niv -1: Local pompe eau de pluie - surpresseur: Au niveau de la pompe Wilo irrigant le réseau sanitaire de la MRS avec de l'eau de pluie ou de ville, un manque d'étanchéité se manifeste au niveau d'une électrovanne. Cette vanne a été localisée et est identifié par la pose d'une banderole blanche et rouge. Merci de vérifier.",45222,,1,Thersa,,
T_P1369,45237,Jan Callemeyn,MRS,Entretien général,Installation de cogénération. Il reste 188h au compteur soit environ 15 journées de fonctionnement. Merci de prévoir un entretien de l'installation (suivant contrat) et de nous informer de la date de votre intervention.,45237,,1,Cogengreen,,
T_P1375,45254,Jan Callemeyn,MRS,Entretien général,Niv -1: local ventilation; groupe hvac G3 soufflet de pulsion interne au groupe déchiré,45250,,1,Thersa,,
T_P1372,45251,Jan Callemeyn,MRS,Entretien général,Niv - ; local ventilation; groupe de ventilation G4 (celui de gauche): prévoir un moment pour le remplacement des roulements des deux moteurs.,45251,4h,2,Ouvriers_CPAS,,
T_P1378,45257,Jan Callemeyn,MRS,Plomberie,Niv 0 ; cantou; chambre 24; fuite d'eau au niveau d'une dalle dans la chambre.,45257,,1,Thersa,,
T_P1376,45257,Jan Callemeyn,MRS,Entretien général,"Niv -1 ; local ventilation; groupe de gauche G4: prévoir le remplacement des roulements des deux moteurs d'entraînement des groupes,",45257,1j,2,Ouvriers_CPAS,,
T_P1379,45271,Jan Callemeyn,MRS,Entretien général,Niv -1: Problème avec la caméra du parking: connection impossible -- CPRO,45271,,1,Thersa,,
T_P1405,45319,Jan Callemeyn,MRS,Sanitaire,"Niv 2/ couloir central, chambre : 234 ou 235; grille de siphon douche à remplacer d'urgence. Merci",45319,,,Thersa,,
T_P1408,45620,Jan Callemeyn,MRS,Entretien général,Niv -1: local ventilation; groupe hvac G3 soufflet de pulsion interne au groupe déchiré,45321,,1,Thersa,,
T_P1412,45328,Jan Callemeyn,MRS,Entretien général,"Niv -1 : installation de cogénération. Il reste 150 h de fonctionnement, merci de planifier la maintenance de la machine,",45328,,1,Cogengreen,,
T_P1416,45343,Jan Callemeyn,MRS,Entretien général,"Niv-1; local chaufferie; installation de cogénération. De par les problèmes mentionnés en réunion ce mercredi 21 février, un nouveau curage de l'échangeur à plaques de l'installation est nécessaire. Merci d'intervenir dès que possible.",45343,,1,Thersa,,
T_P1419,45357,Jan Callemeyn,MRS,Entretien général,"Niv -1; zone cuisine sale; le moteur d'un registre de la GE 5 ne fonctionne plus. Le personnel technique du site peut également vous en informer, en cas d'absence de ma part, lors de votre intervention. Merci",45357,,1,Thersa,,
T_P1427,45373,Jan Callemeyn,MRS,Cuisine,"Niv -1: Cuisine: le groupe frigorifique de la cellule de refroidissement N°1 génère un bruit anormalement élevé, comparativement à celui de la cellule N°2 qui est identique. Pouvez-vous envoyer un technicien afin qu'il puisse nous faire par de son expertise svp ? Merci",45373,,1,Pelzer,,
T_P1426,45373,Jan Callemeyn,MRS,Entretien général,"Bonjour, pouriez vous par retour de ce mail nous envoyer les références de l'échangeur à plaques de notre installation de cogénération. En effet, la société Thersa qui en assure la maintenance prend en charge son remplacement. Merci pour votre retour rapide.",45373,,1,Cogengreen,,
T_P1428,45383,Jan Callemeyn,MRS,Entretien général,"Niv 0 : local fumoir: positionner le purificateur d'air dans le coin de la pièces et poser une barrière Nadar devant celui-ci. Prévoir une affiche à aposer sur celle-ci: ""Ne pas toucher"". Merci",45383,,1,Ouvriers_CPAS,,
T_P1432,45405,Jan Callemeyn,MRS,Plomberie,Niv 0 - Niv -1: Local vide pannes petite aile; l'appareil manifeste une fuite. L'eau coule au niv - 1 dans le local réserve situé en face du local groupe électrogène.,45405,,1,Thersa,,
T_P1434,45418,Jan Callemeyn,MRS,Entretien général,"Il reste 200h au compteur de l'installation de cogénération, soit environ 15 jours de fonctionnement, Merci de prévoir un entretien suivant le cahier des charges de maintenance.",45418,,,Cogengreen,,
T_P1437,45436,Jan Callemeyn,MRS,Plomberie,Niv -1: local chaufferie: flexibles vase d'expansion REFLEX à remplacer (système doté d'un compresseur de maintient de la pression),45436,,1,Thersa,,
T_P1438,45452,Jan Callemeyn,MRS,Entretien général,HVAC - Niveau +3 G2 : alarme par rapport aux filtres du groupe.,45452,,1,Thersa,,
T_P1439,45452,Jan Callemeyn,MRS,Entretien général,Niv +1 zone Ergo: La batterie froide ne fonctionne plus. Merci de ne pas trainer avant d'intervenir.,45452,,1,Thersa,,
T_P1442,45461,Jan Callemeyn,MRS,Entretien général,Niv -1 - zone cuisine sale - rafraichissement: installer les accessoires d'évacuation des condensats de la batterie froide - commander les pièces de raccordement manquantes. Merci,45461,,2,Ouvriers_CPAS,,
T_P1441,45461,Jan Callemeyn,MRS,Electricité,"Niv -1 - cuisine - zone de cuisson: remplacer la résistance chauffante livrée relative à la marmite à soupe électrique, en fonction de sa disponibilité d'accès. Merci",45461,,2,Ouvriers_CPAS,,
T_P1445,45482,Jan Callemeyn,MRS,Entretien général,Niv +3: GE5; Remplacer les filtres décomposés. L'intervention ne peut se faire que le mardi ou le jeudi et de préférence PM. Merci,45482,,1,Thersa,,
T_P1446,45483,Jan Callemeyn,MRS,Entretien général,"Niv +1: couloir central - batterie rafraichissante de l'air pulsé dans le cantou: malgré le remplacement récent de la pompe d'évacuation des condensats, le bac récolteur fuit encore et toujours. Merci pour votre intervention assez urgente, l'été semble arriver.",45483,,1,Thersa,,
