Numéro de la tâche;Date de création de la tâche;Nom de la personne initiatrice de la tâche;Site de réalisation de la tâche;Nature de la tâche;Description de la tâche;Prochaine date pour la tâche;Durée estimée en heure(s) ou journée(s);Nombre de personnes souhaitées;Service mandaté pour la réalisation de la tâche;Journée de la semaine pour réaliser la tâche;Tâche réalisée toutes les X semaines;Journée du mois pour émettre la tâche;Tâche émise tous les X mois
T_R092;45237;Jan Callemeyn;MRS;Entretien général;HVAC: Remplacer les filtres du groupe GE1/GP1;46419;;1;Thersa;;;1;12
T_R015;43773;Jan Callemeyn;MRS;Chauffage;Entretien préventif des deux échangeurs à plaques, insérés dans les circuits de chauffage de l'eau sanitaire cuisine et MRS (seul le circuit de chauffage doit être nettoyé, et non le circuit de l'eau sanitaire chauffée);46939;;1;Thersa;;;5;48
T_R103;45331;Liora Bruno;MRS;Entretien général;faire à fond le local serveur au -1;45853;30 min;1;Entretien;;;15;2
T_R101;45310;Liora Bruno;MRS;Parc voitures;changement de pneus hiver/été;46113;1;2;Ouvriers_CPAS;;;1;6
T_R102;45323;Liora Bruno;MRS;Entretien général;Détartrer toutes les machines à café de la résidence;46143;1h;1;Ouvriers_CPAS;;;1;3
T_R005;43753;Olivier Deltenre;MRS;Entretien général;Scanner les feuilles de maintenance Thersa du semestre précédent;45662;1h;1;Gestionnaire_GTC;;;5;6
T_R067;44489;Olivier Deltenre;MRS;Buanderie - Cuisine;Entretien périodique du groupe fixé au plafond du local de préparation froide en cuisine;46055;;2;Ouvriers_CPAS;Mardi;3;;
T_R069;44490;Olivier Deltenre;MRS;Electricité;Exutoires de la MRS. Vérifier l'état des batteries via la couleur de la LED. Vert OK, Orange HS;46137;;1;Ouvriers_CPAS;;;25;3
T_R076;44881;Olivier Deltenre;MRS;Parc voitures;Relever les Km voitures,,,,;46143;;1;Ouvriers_CPAS;;;1;1
T_R006;43754;Olivier Deltenre;MRS;Entretien général;Test de démarrage du groupe électrogène. Il est demandé d'émettre un appel au micro de l'accueil afin d'inviter tout le monde à la fermeture des fenêtres extérieures durant 1 h, avant de procéder au test. Si besoin, merci de prendre contact avec Michel, le brigadier.;46143;0.5h;1;Ouvriers_CPAS;;;1;1
T_R117;45938;Olivier Deltenre;MRS;Entretien général;Mise à niveau de l'eau dans les humidificateurs suspendus aux radiateurs, des niveaux 0-1-2 de la MRS, y compris les zones comunes du niveau 1;46150;;1;Ouvriers_CPAS;;;1;1
T_R068;44489;Olivier Deltenre;MRS;Jardin / extérieur;Nettoyage terrasse (démoussage, mégots,,,,) 2ème EUCALYPTUS;46152;1 j;2;Ouvriers_CPAS;;;10;12
T_R056;44466;Olivier Deltenre;MRS;Electricité;Vérifier stock ampoules tue-insectes;46200;1h;1;Ouvriers_CPAS;;;9;3
T_R048;44393;Olivier Deltenre;MRS;Jardin / extérieur;Nettoyage descente cuisine près bureau chef cuistot et cuisine chaude;46219;2;2;Ouvriers_CPAS;;;18;6
T_R018;43810;Olivier Deltenre;MRS;HVAC;Nettoyage des filtres des ventilo convecteurs dans les bureaux;46447;;;Ouvriers_CPAS;;;10;12
T_R008;43761;Olivier Deltenre;MRS;Entretien général;Nettoyage bouches aérations encrassées (zones communes) aux 3 niveaux de la MRS (HVAC). Aspiration des poussières éventuellement incrustées aux abords des des différentes bouches.;46458;8h;2;Ouvriers_CPAS;;;12;12
T_R072;44613;Olivier Deltenre;MRS;Entretien général;Mise à niveau de l'eau dans les humidificateurs suspendus aux radiateurs, des niveaux 0-1-2 de la MRS, y compris les zones comunes du niveau 1;44696;;1;Ouvriers_CPAS;;;15;1
T_R073;44635;Olivier Deltenre;MRS;Jardin / extérieur;Tonte pelouse des Lilas (si besoin );44925;1;1;Ouvriers_CPAS;Lundi;3;;
T_R077;44900;Olivier Deltenre;MRS;Entretien général;Mise à niveau de l'eau dans les humidificateurs suspendus aux radiateurs, des niveaux 0-1-2 de la MRS, y compris les zones comunes du niveau 1;45143;;1;Ouvriers_CPAS;;;15;1
T_R079;45014;Olivier Deltenre;MRS;Jardin / extérieur;Tonte pelouse des Lilas (si besoin );45245;1;1;Ouvriers_CPAS;Lundi;3;;
T_R033;44126;Olivier Deltenre;MRS;Buanderie - Cuisine;dégivrage évaporateur  chambre froide négative;45268;4h;1;Ouvriers_CPAS;;;8;1
T_R085;45195;Olivier Deltenre;MRS;Entretien général;Mise à niveau de l'eau dans les humidificateurs suspendus aux radiateurs, des niveaux 0-1-2 de la MRS, y compris les zones comunes du niveau 1;45474;;1;Ouvriers_CPAS;;;1;1
